structure_inchikey	structure_smiles	structure_molecular_formula	structure_exact_mass	structure_xlogp
FRMZOWIQVCBEAC-UHFFFAOYSA-N	OCCN(CC(O)CO)P(O)(O)=O	C5H14NO6P	215.05587	-3.15817
HHLFWLYXYJOTON-UHFFFAOYSA-N	OC(=O)C=O	C2H2O3	74.00039	-0.13368
OVBPIULPVIDEAO-LBPRGKRZSA-N	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	C19H19N7O6	441.13968	-0.68225
WQZGKKKJIJFFOK-GASJEMHNSA-N	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	C6H12O6	180.06339	-2.93254
DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O	C2H5NO2	75.03203	-3.40946
GSXOAOHZAIYLCY-HSUXUTPPSA-N	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	C6H13O9P	260.02972	-3.3906
RWSXRVCMGQZWBV-WDSKDSINSA-N	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	C10H17N3O6S	307.08381	-4.88469
AWUCVROLDVIAJX-GSVOUGTGSA-N	OC[C@@H](O)COP(O)(O)=O	C3H9O6P	172.01367	-1.96258
PEDCQBHIVMGVHV-UHFFFAOYSA-N	OCC(O)CO	C3H8O3	92.04734	-1.83901
UYTPUPDQBNUYGX-UHFFFAOYSA-N	NC1=NC(=O)C2=C(N1)N=CN2	C5H5N5O	151.04941	-0.58934
NYHBQMYGNKIUIF-UUOKFMHZSA-N	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	C10H13N5O5	283.09167	-2.70622
BDAGIHXWWSANSR-UHFFFAOYSA-N	OC=O	CH2O2	46.00548	-0.27204
WQZGKKKJIJFFOK-SVZMEOIVSA-N	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	C6H12O6	180.06339	-2.93254
WHUUTDBJXJRKMK-VKHMYHEASA-N	N[C@@H](CCC(O)=O)C(O)=O	C5H9NO4	147.05316	-3.24145
HZAXFHJVJLSVMW-UHFFFAOYSA-N	NCCO	C2H7NO	61.05276	-1.31556
PHOQVHQSTUBQQK-SQOUGZDYSA-N	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	C6H10O6	178.04774	-2.74527
BJEPYKJPYRNKOW-REOHCLBHSA-N	O[C@@H](CC(O)=O)C(O)=O	C4H6O5	134.02152	-1.11364
FDGQSTZJBFJUBT-UHFFFAOYSA-N	OC1=NC=NC2=C1NC=N2	C5H4N4O	136.03851	-0.04811
OUYCCCASQSFEME-QMMMGPOBSA-N	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	C9H11NO3	181.07389	-1.48859
COLNVLDHVKWLRT-QMMMGPOBSA-N	N[C@@H](CC1=CC=CC=C1)C(O)=O	C9H11NO2	165.07898	-1.18444
CDAISMWEOUEBRE-UHFFFAOYSA-N	OC1C(O)C(O)C(O)C(O)C1O	C6H12O6	180.06339	-3.78201
QNAYBMKLOCPYGJ-REOHCLBHSA-N	C[C@H](N)C(O)=O	C3H7NO2	89.04768	-2.84079
ONIBWKKTOPOVIA-BYPYZUCNSA-N	OC(=O)[C@@H]1CCCN1	C5H9NO2	115.06333	-2.56864
GUBGYTABKSRVRQ-DKBJLJRDSA-N	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	C12H22O11	342.11621	-4.70337
FFFHZYDWPBMWHY-VKHMYHEASA-N	N[C@@H](CCS)C(O)=O	C4H9NO2S	135.0354	-2.57647
AYFVYJQAPQTCCC-GBXIJSLDSA-N	C[C@@H](O)[C@H](N)C(O)=O	C4H9NO3	119.05824	-3.47096
DCXYFEDJOCDNAF-REOHCLBHSA-N	N[C@@H](CC(N)=O)C(O)=O	C4H8N2O3	132.05349	-4.28783
WQZGKKKJIJFFOK-QTVWNMPRSA-N	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	C6H12O6	180.06339	-2.93254
