structure_name	structure_inchikey	structure_smiles	structure_inchikey_no_stereo	structure_smiles_no_stereo	structure_molecular_formula	structure_exact_mass	structure_xlogp	structure_tax_npc_01pat	structure_tax_npc_02sup	structure_tax_npc_03cla	structure_tax_cla_chemontid	structure_tax_cla_01kin	structure_tax_cla_02sup	structure_tax_cla_03cla	structure_tax_cla_04dirpar	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	reference_doi
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Hexadecanoate;hydron	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Palmitic Acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(=O)O	IPCSVZSSVZVIGE	CCCCCCCCCCCCCCCC(=O)O	C16H32O2	256.24023	5.5523	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0002949	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Long-chain fatty acids	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Cholestane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Cholestane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Cholestane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Cholestane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Cholestane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora		10.1016/0031-9422(77)84040-5
Stigmasterol	HCXVJBMSMIARIN-PHZDYDNGSA-N	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	HCXVJBMSMIARIN	CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H48O	412.37052	7.8008	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Cholestane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Ergostane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Cholestane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Ergostane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Cholestane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Ergostane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona		10.1016/0031-9422(77)84040-5
Campesterol	SGNBVLSWZMBQTH-PODYLUTMSA-N	CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	SGNBVLSWZMBQTH	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C28H48O	400.37052	7.6347	Terpenoids	Steroids	Cholestane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys		10.1016/0031-9422(77)84040-5
