structure_name	structure_inchikey	structure_smiles	structure_inchikey_2D	structure_smiles_2D	structure_molecular_formula	structure_exact_mass	structure_xlogp	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	structure_taxonomy_classyfire_chemontid	structure_taxonomy_classyfire_01kingdom	structure_taxonomy_classyfire_02superclass	structure_taxonomy_classyfire_03class	structure_taxonomy_classyfire_04directparent	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	reference_doi
Pipecolic acid	HXEACLLIILLPRG-UHFFFAOYSA-N	OC(=O)C1CCCCN1	HXEACLLIILLPRG		C6H11NO2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Deoxyinosine	VGONTNSXDCQUGY-RRKCRQDMSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O	VGONTNSXDCQUGY		C10H12N4O4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
cis-Aconitic acid	GTZCVFVGUGFEME-IWQZZHSRSA-N	OC(=O)C\C(=C\C(O)=O)C(O)=O	GTZCVFVGUGFEME		C6H6O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dopamine	VYFYYTLLBUKUHU-UHFFFAOYSA-N	NCCC1=CC(O)=C(O)C=C1	VYFYYTLLBUKUHU		C8H11NO2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dihydrouracil	OIVLITBTBDPEFK-UHFFFAOYSA-N	O=C1CCNC(=O)N1	OIVLITBTBDPEFK		C4H6N2O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dehydroepiandrosterone	FMGSKLZLMKYGDP-USOAJAOKSA-N	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C	FMGSKLZLMKYGDP		C19H28O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Cysteinylglycine	ZUKPVRWZDMRIEO-VKHMYHEASA-N	N[C@@H](CS)C(=O)NCC(O)=O	ZUKPVRWZDMRIEO		C5H10N2O3S											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dihydrothymine	NBAKTGXDIBVZOO-VKHMYHEASA-N	C[C@H]1CNC(=O)NC1=O	NBAKTGXDIBVZOO		C5H8N2O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Cytidine triphosphate	PCDQPRRSZKQHHS-XVFCMESISA-N	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	PCDQPRRSZKQHHS		C9H16N3O14P3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Deoxyguanosine	YKBGVTZYEHREMT-KVQBGUIXSA-N	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	YKBGVTZYEHREMT		C10H13N5O4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Glycerophosphocholine	SUHOQUVVVLNYQR-MRVPVSSYSA-N	C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO	SUHOQUVVVLNYQR		C8H20NO6P											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dimethylamine	ROSDSFDQCJNGOL-UHFFFAOYSA-N	CNC	ROSDSFDQCJNGOL		C2H7N											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Cytidine	UHDGCWIWMRVCDJ-XVFCMESISA-N	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	UHDGCWIWMRVCDJ		C9H13N3O5											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dimethylglycine	FFDGPVCHZBVARC-UHFFFAOYSA-N	CN(C)CC(O)=O	FFDGPVCHZBVARC		C4H9NO2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Citric acid	KRKNYBCHXYNGOX-UHFFFAOYSA-N	OC(=O)CC(O)(CC(O)=O)C(O)=O	KRKNYBCHXYNGOX		C6H8O7											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Cytidine monophosphate	IERHLVCPSMICTF-XVFCMESISA-N	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	IERHLVCPSMICTF		C9H14N3O8P											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N	C[N+](C)(C)CCO	OEYIOHPDSNJKLS		C5H14NO											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
D-Xylose	SRBFZHDQGSBBOR-IOVATXLUSA-N	O[C@@H]1COC(O)[C@H](O)[C@H]1O	SRBFZHDQGSBBOR		C5H10O5											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
L-Cystathionine	ILRYLPWNYFXEMH-WHFBIAKZSA-N	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	ILRYLPWNYFXEMH		C7H14N2O4S											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Deoxyadenosine	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	OLXZPDWKRNYJJZ		C10H13N5O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Galactitol	FBPFZTCFMRRESA-GUCUJZIJSA-N	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	FBPFZTCFMRRESA		C6H14O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Ethanol	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	CCO	LFQSCWFLJHTTHZ		C2H6O											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
gamma-Aminobutyric acid	BTCSSZJGUNDROE-UHFFFAOYSA-N	NCCCC(O)=O	BTCSSZJGUNDROE		C4H9NO2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Glycerylphosphorylethanolamine	JZNWSCPGTDBMEW-UHFFFAOYSA-N	NCCOP(O)(=O)OCC(O)CO	JZNWSCPGTDBMEW		C5H14NO6P											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Glycolic acid	AEMRFAOFKBGASW-UHFFFAOYSA-N	OCC(O)=O	AEMRFAOFKBGASW		C2H4O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Homovanillic acid	QRMZSPFSDQBLIX-UHFFFAOYSA-N	COC1=CC(CC(O)=O)=CC=C1O	QRMZSPFSDQBLIX		C9H10O4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Glyoxylic acid	HHLFWLYXYJOTON-UHFFFAOYSA-N	OC(=O)C=O	HHLFWLYXYJOTON		C2H2O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	OVBPIULPVIDEAO		C19H19N7O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
D-Glucose	WQZGKKKJIJFFOK-VFUOTHLCSA-N	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	WQZGKKKJIJFFOK		C6H12O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
