row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,191105_AR_Panax_Pos.mzML Peak area,191105_AR_Ginkgo_Pos.mzML Peak area,191105_AR_Arnica_Pos.mzML Peak area,191105_AR_Cinchona_Pos.mzML Peak area,191105_AR_Salvia_Pos.mzML Peak area,
14,160.02766093545307,0.16336419,,,,295,,,,,,,10106.329,144440.66,2875.3462,7258.2534,37809.42,
1804,160.03439827736892,0.776384,,,,389,,,,,,,12691.924,42729.82,28089.883,34615.21,370981.97,
914,160.0344104191159,0.5971811,,,,,,,,,,,67761.71,42729.82,232254.44,31361.682,23192.695,
11596,161.055611248241,4.448839,,,,923,626,[M-H+2Na]+,,2,11615;11596,116.08406,5219.882,0,1780.3702,0,0,
5655,163.13272246242798,2.3922107,,,,704,295,[M+H]+,,2,5652;5648,162.12547,13172.362,9148.9,10969.393,28266.064,6929.0195,
4310,164.1068950549167,1.8842504,,,,259,,,,,,,0,0,0,2112492.0,0,
1651,164.10691139480045,0.82995576,,,,387,,,,,,,0,0,0,1480297.5,0,
3904,164.10692720251956,1.7522597,,,,517,,,,,,,0,0,0,356704.6,0,
8550,164.10693018330738,3.4061396,,,,836,,,,,,,0,0,0,192598.92,0,
5152,164.10699942003458,2.206069,,,,661,,,,,,,0,0,0,187110.94,0,
5288,165.00256300722012,2.4339585,,,,,,,,,,,51458.25,5500.082,1974.8206,6647.1,3912.1743,
17,165.00662930134564,0.16480626,,,,295,,,,,,,14318.525,74531.21,2890.294,8335.247,19157.107,
501,165.0542823692454,0.24503034,,,,295,14,[M+H]+,,1,508,164.04706,57804.355,0,29396.07,0,0,
810,166.08612667595085,0.42566794,,,,114,,,,,,,505432.8,10225.168,723251.06,0,7330.9873,
655,166.12270738792347,0.30527607,,,,264,,,,,,,0,81009.72,0,0,0,
811,167.08929529436784,0.42579052,,,,114,,,,,,,53316.23,0,74402.37,0,0,
9670,167.10646741498678,3.7932856,,,,836,523,[M+H-H2O]+,,2,9670;9711,184.10986,0,0,0,0,6447.422,
8325,167.10689105697716,3.3299263,,,,836,448,[M+H-H2O]+,,2,8325;8361,184.11023,0,0,0,0,47555.61,
353,168.01969272602207,0.20989886,,,,295,,,,,,,305891.75,1604774.0,53182.71,207232.11,446131.84,
868,168.13807113864382,0.454073,,,,131,,,,,,,0,0,0,213685.75,0,
8800,169.12218296093405,3.4544797,,,,836,,,,,,,0,0,0,0,41081.57,
869,169.1414133752811,0.454073,,,,131,,,,,,,0,0,0,21597.082,0,
9353,170.08931350753792,3.6684544,,,,840,,,,,,,0,0,0,53924.188,0,
333,170.117291901993,0.20947471,,,,295,,,,,,,0,0,0,319976.84,0,
1213,170.1537644909388,0.6233551,,,,311,,,,,,,0,0,0,24809.361,0,
5119,171.1378022604921,2.2029364,,,,203,,,,,,,0,0,0,0,71002.6,
1168,172.07538556519245,0.58572,,,,11,,,,,,,0,0,0,33136.793,0,
570,174.054791651972,0.27590132,,,,295,,,,,,,0,0,0,137157.84,0,
2092,174.09115566584165,0.99129003,,,,527,83,[M+H]+,,1,2093,173.08381,0,0,0,31060.092,0,
4321,174.14934998282763,1.8890834,,,,486,,,,,,,15703.235,0,232.16193,0,0,
64,175.11864105298326,0.17734122,,,,295,,,,,,,3181293.8,0,21643.78,0,0,
9970,176.52977409845846,3.777165,,,,836,,,,,,,19076.748,20635.457,22038.318,20069.494,27044.324,
10088,177.054314790484,4.1170664,,,,542,,,,,,,0,0,0,390.4478,18642.318,
15740,177.05461224036165,6.1294756,,,,422,,,,,,,31633.615,27311.018,35303.062,50712.85,52251.164,
10777,177.05461690034252,4.3083954,,,,304,,,,,,,0,0,0,212.07358,46683.94,
3805,177.16370015311614,1.7144078,,,,212,,,,,,,0,41777.207,0,0,0,
1464,178.13368742105294,0.74315387,,,,648,,,,,,,16931.21,323.32593,7457.3643,8715.891,18120.072,
250,179.01687767058192,0.20113058,,,,295,9,[M+Na]+,,2,252;250,156.02766,6461826.5,5079517.5,6599020.5,6197222.0,7444106.5,
7794,179.0335986812594,3.14949,,,,836,420,[M+2H]+2,,3,7798;7830;7794,356.05265,0,0,0,0,7550.4263,
5654,179.05729101702542,2.3936658,,,,704,298,[M+Na]+,,2,5692;5654,156.06797,9200.466,5756.164,7234.9375,16991.465,3692.5732,
5208,179.10641898688905,2.2244313,,,,40,274,[M+H-H2O]+,,3,5224;5202;5208,196.10992,0,11635.606,14099.842,0,5506.5957,
2854,179.67680462095163,1.3646499,,,,486,,,,,,,0,0,0,320789.38,0,
89,180.08632592756163,0.18876317,,,,295,,,,,,,78229.305,3001.1663,372635.7,4184.2417,32757.191,
2042,180.10146863191795,0.9678971,,,,84,,,,,,,3949.4097,0,14764.388,0,0,
5652,180.15930317755047,2.3907619,,,,704,295,[M+NH4]+,,3,5655;5652;5648,162.12547,6110.396,3847.6833,4442.18,10800.41,2896.778,
7716,181.0483912199569,3.2004437,,,,836,423,[M+2H]+2,,5,7726;7723;7748;7753;7716,360.08412,329.09125,0,0,0,99316.16,
2354,181.11690313495106,1.1308224,,,,766,,,,,,,0,0,0,348589.72,0,
6147,181.1221488073576,2.554465,,,,432,324,[M+H]+,,1,6134,180.11491,0,0,0,0,12501.109,
12620,181.12218919982237,4.838269,,,,893,684,[M+H]+,,3,12606;12629;12620,180.11486,3563.263,523847.03,112101.99,8500.701,435848.62,
14458,181.12219185232777,5.5881577,,,,327,,,,,,,0,20137.049,10374.463,0,3721.0415,
4473,181.1225350935465,1.945804,,,,693,,,,,,,0,2811.236,4142.219,0,8801.211,
11586,181.56911149046624,4.4511476,,,,923,,,,,,,14390.861,276.09143,7386.52,1087.7172,1673.5264,
5758,182.0519432303844,2.431491,,,,836,,,,,,,0,0,0,0,52369.016,
508,182.08094322452638,0.23923156,,,,295,14,[M+NH4]+,,2,508;501,164.04706,995515.0,36429.43,801814.56,2344.8794,15107.693,
4464,182.08144062744756,1.9398844,,,,259,223,[M+H]+,,1,4448,181.07423,0,0,9328.092,0,0,
806,182.11729646044492,0.42294195,,,,,,,,,,,0,0,0,71984.55,0,
2355,182.56811594421885,1.1308224,,,,766,,,,,,,0,0,0,1874739.9,0,
453,182.99698026230672,0.24437985,,,,295,,,,,,,13166.966,6753.923,5039.471,68116.07,64573.156,
3395,183.0418643720775,1.4933314,,,,660,,,,,,,0,1279.5576,6528.2905,0,3908.3594,
6820,183.07801554682948,2.7747324,,,,836,358,[M+H]+,,1,6802,182.07075,51235.79,25844.574,35781.28,12870.863,30653.82,
3215,183.61213528113518,1.4941907,,,,208,,,,,,,0,0,0,366715.44,0,
7510,183.612408296459,3.0682547,,,,836,,,,,,,0,0,0,50210.83,0,
459,183.99462067039502,0.23543116,,,,295,,,,,,,911442.94,1041540.8,704875.0,901253.7,784202.25,
2304,183.99463687010376,0.83811283,,,,,,,,,,,326876.78,499152.75,366058.6,89231.24,196053.9,
2747,183.99466787996175,1.0188711,,,,772,,,,,,,279007.44,901660.0,315963.12,258660.69,537295.94,
3524,183.99466960500024,1.3307413,,,,,,,,,,,205251.28,127729.305,353954.9,303172.22,359048.0,
4490,183.9947312883125,1.6459621,,,,,,,,,,,118217.96,176419.66,273424.88,240855.67,228589.92,
5404,183.99474423237587,2.0756316,,,,,,,,,,,82113.805,66027.81,205499.86,106809.71,112720.914,
675,184.09679572466808,0.3124906,,,,264,,,,,,,0,187611.3,0,0,0,
747,184.13292664580314,0.35803616,,,,295,,,,,,,0,0,0,48194.637,0,
1267,184.1330351945536,0.6591778,,,,898,,,,,,,0,0,0,165419.86,0,
4311,184.62013103830196,1.8842504,,,,259,,,,,,,0,0,0,164215.1,0,
2377,185.10681188400804,1.1446017,,,,303,,,,,,,14546.111,0,0,0,0,
5648,185.11470144622143,2.3907619,,,,704,295,[M+Na]+,,3,5655;5652;5648,162.12547,70862.38,45976.723,55801.695,133019.12,33550.72,
8327,185.11706792154015,3.5018387,,,,,,,,,,,0,0,185.4998,0,79809.695,
1268,185.13641393760292,0.6591778,,,,898,,,,,,,0,0,0,17481.59,0,
7164,185.5606377230811,2.911335,,,,808,,,,,,,0,0,0,91376.26,0,
960,186.1235141027117,0.49465945,,,,,,,,,,,273131.53,0,182112.89,0,1546.3226,
449,188.02247180675985,0.16480626,,,,295,,,,,,,117501.64,657846.1,24413.361,88819.055,174199.47,
1407,188.07042110397077,0.71301866,,,,687,47,[M+H]+,,2,1407;1348,187.06316,528524.94,25852.67,186605.3,4413.135,9502.032,
1169,188.10840184263878,0.58572,,,,11,,,,,,,0,0,0,579064.7,0,
3234,189.07784837545958,1.5014218,,,,208,,,,,,,0,0,0,324727.3,0,
4312,189.078143742757,1.8842504,,,,259,,,,,,,0,0,0,127661.03,0,
1639,189.11623439971152,0.8227454,,,,642,,,,,,,0,0,0,82823.73,0,
1627,190.04974239824304,0.7764196,,,,364,,,,,,,0,28986.602,4595.405,1275.7216,2822.3418,
15730,190.04984350474635,6.1252418,,,,422,,,,,,,8201.554,7771.4316,10330.473,11881.651,13226.157,
8328,190.0498627718675,3.3299263,,,,836,,,,,,,0,0,0,0,79283.55,
4388,190.05868675794804,1.9065132,,,,486,,,,,,,0,10581.167,19284.297,0,9859.853,
12623,190.0716197936533,4.8420463,,,,893,,,,,,,0,13151.719,1385.8252,0,10561.452,
2417,190.14348058794303,1.1639467,,,,650,,,,,,,18353.953,0,2613.1548,0,0,
15732,190.54555509350396,6.130933,,,,422,,,,,,,6744.3735,1467.0975,8408.569,13269.303,6161.287,
2093,191.11757068833825,0.99129003,,,,527,83,[M+NH4]+,,2,2093;2092,173.08381,0,0,0,19267.54,0,
9659,191.14267089502346,3.7877216,,,,647,,,,,,,0,24800.24,49163.53,0,10888.555,
7114,191.14300440081652,2.7754233,,,,836,,,,,,,0,1837.5219,11129.475,0,60632.332,
18264,191.17912982362006,6.958715,,,,576,1004,[M+H-H2O]+,,2,18264;18282,208.18309,4492.7017,0,0,0,0,
16733,191.17919212835108,6.4081526,,,,926,930,[M+H-H2O]+,,2,16736;16733,208.18309,28791.164,0,0,0,1501.6919,
7029,192.0471833664325,2.857154,,,,836,,,,,,,8571.983,0,9067.836,0,7255.3174,
35,192.06162014595125,0.16623166,,,,295,,,,,,,6802.915,55944.277,2176.036,7629.339,13186.361,
13548,192.13826952296995,5.2149024,,,,313,,,,,,,5281.9487,2365.986,3608.1138,1154.1401,1033.1086,
7075,193.04952989673305,2.872417,,,,836,,,,,,,0,0,0,0,66279.72,
11061,193.08575157958302,4.2627263,,,,662,604,[M+H-H2O]+,,3,11072;11061;11073,210.08916,0,0,2916.5352,0,0,
15296,193.1585113778101,5.990803,,,,,,,,,,,0,4391.2354,0,0,0,
11122,193.15868292208737,4.417628,,,,671,,,,,,,0,8033.179,785.9844,0,1833.7637,
4601,193.15868366644844,1.9995621,,,,486,,,,,,,0,38360.18,0,0,0,
13678,193.15875260942815,5.2907734,,,,601,,,,,,,0,9791.724,660.0492,0,664.23035,
15460,193.4585578041756,6.088993,,,,,,,,,,,807.2153,9301.448,1276.1007,9266.576,328.9063,
12773,193.56033482947447,4.9014277,,,,479,,,,,,,0,0,0,0,11079.952,
3046,194.08099866768302,1.2183274,,,,716,106,[M+H-H2O]+,,2,2572;3046,211.08417,7734.571,0,21282.637,0,618.6284,
252,194.99081165692633,0.20113058,,,,295,9,[M+K]+,,2,252;250,156.02766,119533.266,240742.44,135833.8,81630.24,176426.16,
2133,194.99439465509167,1.0177917,,,,492,,,,,,,0,0,10309.288,0,3145.1895,
9617,195.02372568257414,3.777171,,,,836,,,,,,,91565.82,100794.34,119912.39,111520.88,89797.586,
939,195.1224847072306,0.48715606,,,,423,31,[M+H]+,,2,939;938,194.11524,7424.893,8035.8784,6420.0107,15047.16,22769.17,
15021,195.13787002937914,5.8052855,,,,823,,,,,,,5836.5366,1383.8184,58695.617,2217.8062,1472.4696,
16766,195.13788785931453,6.4934745,,,,599,,,,,,,365.96124,121.16176,4769.781,884.6591,9080.326,
12031,195.13802234693776,4.476624,,,,905,645,[M+H]+,,1,11986,194.13051,0,2070.0698,171.16278,0,204.31067,
935,196.0966027574066,0.6126959,,,,,,,,,,,2435.3633,0,44059.45,6558.079,0,
359,196.09998681817495,0.21045853,,,,295,,,,,,,279252.7,48712.77,568156.44,0,37498.95,
1608,196.13297057125627,0.8083288,,,,118,,,,,,,0,0,0,35132.613,0,
1394,196.1330161616972,0.71185243,,,,390,,,,,,,0,0,0,26137.53,0,
2384,197.03940237335016,1.1472691,,,,186,,,,,,,0,0,28581.277,0,0,
3458,197.08048163394835,1.603583,,,,486,,,,,,,0,0,0,157957.48,2665.1477,
5204,197.11710097110875,2.2251449,,,,40,274,[M+H]+,,2,5204;5202,196.10992,0,290349.78,365361.16,2524.3174,160095.84,
4568,197.11710805773185,2.0445545,,,,268,,,,,,,0,16141.511,29150.346,2524.3174,9683.684,
15508,197.11728819336068,5.974348,,,,860,,,,,,,229.48993,185.02943,217.0254,13629.549,0,
12629,198.1486238599962,4.840042,,,,893,684,[M+NH4]+,,3,12606;12629;12620,180.11486,0,4816.582,0,0,5036.8545,
4775,198.1599406187122,2.0863132,,,,680,,,,,,,6407.8545,0,255.16081,0,0,
1844,199.09622178026103,0.90336984,,,,110,,,,,,,0,0,0,46673.168,0,
2800,199.09624650001223,1.3270526,,,,274,,,,,,,0,0,0,16165.163,44257.31,
11585,200.06282194419344,4.451125,,,,923,,,,,,,25072.309,1065.9508,13086.843,2290.939,3211.1633,
9084,201.05425787449218,3.6699204,,,,836,,,,,,,306.20813,298.23187,12670.3125,233.09982,247.72955,
5976,202.1436749311477,2.6871433,,,,,,,,,,,7136.577,0,1040.6176,0,0,
5760,202.56516940411763,2.431491,,,,836,,,,,,,0,0,0,0,68232.15,
90,203.05218302130692,0.1832082,,,,922,0,[M+Na]+,,2,90;93,180.06304,5583.0806,30115.973,139792.84,56724.918,119879.914,
15669,203.10265662307074,6.1010222,,,,422,870,[M-H+2Na]+,,2,15669;15665,158.13107,0,24880.623,2577.1846,0,2861.0044,
12606,203.10407406065553,4.8299446,,,,893,684,[M+Na]+,,3,12606;12629;12620,180.11486,0,29572.254,4596.2373,0,20676.635,
6134,203.10415622754385,2.547238,,,,432,324,[M+Na]+,,2,6147;6134,180.11491,0,0,0,0,5225.1123,
1653,203.1136463296255,0.82995576,,,,387,,,,,,,0,0,0,258019.33,0,
1068,203.13873298901382,0.5413678,,,,636,,,,,,,16609.146,0,25669.963,0,0,
11491,203.17931864800065,4.3920245,,,,363,,,,,,,31031.469,0,2752.9907,0,11190.253,
16502,203.17935110725386,6.3121967,,,,576,,,,,,,39096.457,0,9057.024,2988.0078,446510.12,
15647,203.17935879889396,6.067652,,,,422,,,,,,,39594.617,175.29575,10685.766,4822.4326,488640.9,
14418,203.1794454511954,5.9200373,,,,846,,,,,,,52107.89,175.29575,10052.195,3848.8828,224172.58,
13894,203.17965531238303,5.312453,,,,,,,,,,,5863.324,0,5589.6133,0,7246.073,
4448,204.0635196370377,1.932699,,,,259,223,[M+Na]+,,2,4464;4448,181.07423,0,0,9244.94,0,0,
898,204.06447928898146,0.2527939,,,,,,,,,,,2563.259,10846.73,0,48989.75,775.71655,
6802,205.05997417640305,2.7674937,,,,836,358,[M+Na]+,,2,6802;6820,182.07075,11582.794,5723.0703,5795.467,1121.6609,5928.233,
1348,205.09699939741486,0.68782026,,,,687,47,[M+NH4]+,,2,1407;1348,187.06316,898080.56,43147.06,317558.75,0,18607.84,
11598,205.1434439878047,4.449693,,,,923,625,[M+H]+,,4,11598;11605;11597;11599,204.13608,148710.17,18587.135,79626.55,17774.617,29514.932,
18233,205.15858389700105,6.948844,,,,595,,,,,,,0,13168.504,0,0,0,
39,206.03303100171843,0.16335876,,,,295,,,,,,,12491.365,48489.688,2971.2207,8260.311,15340.935,
958,206.04433193186617,0.4144303,,,,423,,,,,,,4082.612,572348.5,0,2630.4683,57317.86,
388,206.06525541342717,0.35686743,,,,295,,,,,,,0,1636.0131,0,178222.77,0,
1340,206.10050643706325,0.6860135,,,,687,,,,,,,104746.445,3665.8123,36620.57,0,794.31104,
11604,206.1469721804865,4.448251,,,,923,,,,,,,15440.066,464.18558,8220.206,712.4912,1861.7012,
1803,206.49337862144375,0.7514429,,,,,,,,,,,209664.7,83322.2,19929.066,70190.336,11578.689,
888,206.49342178055318,0.50145096,,,,,,,,,,,12908.881,15469.67,10310.034,38967.19,124772.0,
10674,207.06470887318025,4.144733,,,,469,,,,,,,0,0,0,0,11939.288,
9711,207.09918840359558,3.7958262,,,,836,523,[M+Na]+,,2,9670;9711,184.10986,0,205.49834,212.4067,0,15503.322,
8361,207.09950323068938,3.3371532,,,,836,448,[M+Na]+,,2,8325;8361,184.11023,0,0,0,0,34838.83,
10134,207.13785860648616,3.8504372,,,,804,,,,,,,0,1065.691,10339.737,0,6185.9385,
3878,207.1379152032861,1.5355763,,,,486,,,,,,,0,2508.8203,22255.604,0,103515.04,
5653,208.1905422214695,2.3936596,,,,704,,,,,,,9961.891,6629.323,7503.732,8599.158,3843.1309,
723,208.53064046932562,0.40282175,,,,114,,,,,,,16335.159,4973.256,31202.324,0,21108.56,
12641,208.5653736204616,4.842007,,,,893,,,,,,,0,49061.715,7922.5776,0,37090.12,
15748,209.03927776949877,6.1338477,,,,422,,,,,,,29630.566,27522.205,33427.387,46069.336,32333.197,
1499,209.04808090549176,0.65037817,,,,464,,,,,,,0,2639.7803,0,0,28190.861,
16947,209.0595413185703,6.521611,,,,733,,,,,,,0,32437.654,34389.164,2051.974,13590.91,
5938,209.11504422034693,2.3666582,,,,836,,,,,,,0,0,24051.53,0,3713.2122,
6526,209.11611671998668,2.6169887,,,,836,,,,,,,0,0,1268.0944,0,30782.605,
4038,209.11712090329405,1.7288533,,,,697,,,,,,,0,0,3168.4592,0,135276.25,
9768,209.15333080123787,3.8318186,,,,647,,,,,,,0,24703.998,59722.816,1149.5564,28434.217,
10529,209.15345141937067,3.9602857,,,,836,,,,,,,0,9411.695,55523.816,1149.5564,24491.861,
15289,209.15348156085142,6.138477,,,,,,,,,,,0,4547.574,738.54114,0,234.74364,
9259,209.15357684649788,3.6823664,,,,,,,,,,,0,7935.2993,17480.129,1149.5564,35071.07,
4829,209.5277728095353,2.1009915,,,,,,,,,,,0,0,6700.7153,0,0,
12843,210.1122128327868,4.9295006,,,,612,,,,,,,0,0,33890.613,0,0,
1963,210.11253059925053,0.9502443,,,,743,,,,,,,0,0,131556.48,0,1661.0906,
597,210.11552087720042,0.28371793,,,,295,,,,,,,1337466.8,65157.164,2152776.5,1701.1514,89893.5,
12966,210.5611929570484,4.987945,,,,,,,,,,,0,2440.1157,0,0,0,
4392,210.57195178170184,1.9088653,,,,486,,,,,,,0,4760.04,8725.059,0,2947.1565,
3692,211.05494269164421,1.6807058,,,,486,,,,,,,0,0,1731.7141,0,70389.875,
15742,211.05881463034794,6.133845,,,,422,,,,,,,7653.557,5902.977,9747.499,14928.701,2920.2065,
13340,211.13276992662952,5.1287966,,,,894,731,[M+H-H2O]+,,2,13340;13362,228.13634,0,623.67847,4058.0374,0,0,
14769,211.13293335129293,5.7356653,,,,,,,,,,,3879.98,0,0,0,0,
14230,211.16901515963878,5.4601293,,,,154,,,,,,,0,6174.6943,2294.076,0,1111.4471,
8372,211.1690260950868,3.198536,,,,371,,,,,,,0,14779.449,3512.922,0,3269.8289,
10874,211.56908800595917,4.223303,,,,475,,,,,,,0,14875.839,0,0,0,
6344,212.10671138297423,2.6252472,,,,841,,,,,,,0,0,0,145648.06,0,
55,213.01818117979383,0.16623166,,,,22,,,,,,,2519.5146,2766.5103,1512.9531,5477.6685,7330.4487,
5359,213.11107141026136,2.408638,,,,,,,,,,,835.9898,0,0,10063.014,20056.896,
1084,213.12277967684625,0.5513663,,,,636,,,,,,,11901.353,0,0,0,0,
11424,213.14638482712417,4.3691225,,,,241,,,,,,,10947.107,8069.2896,9961.516,10902.185,2424.8855,
10142,213.14699224949064,4.2515173,,,,,,,,,,,504.6268,784.5465,11098.085,1042.9148,3264.8071,
16790,213.1480784104077,6.5287204,,,,599,,,,,,,527.56775,0,6465.364,2150.583,284.57245,
15039,213.1483495575588,5.803338,,,,823,,,,,,,24277.688,1393.704,62793.695,7041.4023,7355.497,
3807,213.1848597146687,1.7144078,,,,212,,,,,,,0,48406.004,0,0,0,
1524,213.4994980712164,0.77985245,,,,160,,,,,,,2392.77,6832.9814,66200.195,0,6406.286,
12284,213.5654210260509,4.6372256,,,,226,,,,,,,0,0,32563.78,0,441.43094,
14282,213.5839580647524,5.5478487,,,,876,,,,,,,0,16564.176,0,0,567.0231,
598,213.96228911882744,0.23659198,,,,,,,,,,,9455.895,158333.94,2866.5671,10137.802,26850.746,
1129,214.12228891317847,0.5720284,,,,11,,,,,,,0,0,0,69507.14,0,
5202,214.1436164410502,2.2218902,,,,40,274,[M+NH4]+,,3,5204;5208;5202,196.10992,0,8664.483,9145.317,0,2892.7993,
1840,215.0153342162533,0.7594825,,,,,,,,,,,2846.873,19743.521,81202.52,11173.162,36561.25,
1285,215.0914341581725,0.66643393,,,,695,40,[M+H-H2O]+,,2,1288;1285,232.09462,0,4160.3545,0,0,0,
9640,215.5368920178505,3.7844193,,,,836,,,,,,,27594.387,22673.086,25459.217,19816.0,26861.16,
1631,216.05763955231487,0.74246806,,,,364,,,,,,,0,12862.903,1485.5216,0,1140.1527,
1137,216.08645604756242,0.39250672,,,,,,,,,,,1704.5763,2053.4126,12329.8125,0,56291.55,
639,216.1228126514356,0.2832746,,,,295,,,,,,,9518.9795,2009.6217,59022.727,4639.7373,57725.64,
9172,216.17472866380444,3.609253,,,,,,,,,,,1963.9515,0,141.36925,0,16479.623,
10063,216.17473680620836,3.844281,,,,804,,,,,,,300.15802,0,141.36925,0,13610.956,
11410,216.17481155616372,4.1782317,,,,49,,,,,,,300.15802,0,0,0,48958.71,
4563,216.5627887231061,2.1422741,,,,268,,,,,,,0,26594.04,7495.7505,0,11963.675,
7138,217.0313252280992,3.0259306,,,,,,,,,,,2052.4688,1195.2614,2627.6265,709.5531,1157.4481,
13302,217.03139862763447,5.1071453,,,,714,,,,,,,6579.7056,2136.3809,798.87317,2586.3936,953.2625,
141,217.0679930999064,0.18593006,,,,775,1,[M+Na]+,,2,143;141,194.07885,0,17908.062,0,258036.2,0,
2245,217.09694278532774,1.1363248,,,,509,,,,,,,194270.9,2509.1003,130040.6,3740.7695,61770.95,
938,217.1044802793796,0.4871544,,,,423,31,[M+Na]+,,2,939;938,194.11524,35676.637,39445.42,34270.36,100154.25,101390.78,
2998,217.106485938545,1.31196,,,,274,113,[M+H]+,,1,2968,216.09945,0,346.81403,0,0,16137.081,
11986,217.11949472472818,4.5832334,,,,905,645,[M+Na]+,,2,12031;11986,194.13051,0,2459.9316,0,0,0,
309,217.12876560657605,0.20740005,,,,295,,,,,,,249172.98,0,0,0,0,
761,217.1542509243754,0.36104304,,,,,,,,,,,4373.2563,0,44889.637,0,0,
16820,217.15871218348818,6.638434,,,,,,,,,,,0,6865.747,2050.0864,0,1872.4221,
14379,217.19479482302359,5.5869308,,,,324,,,,,,,52567.26,0,0,0,0,
16249,217.1951110923135,6.027295,,,,422,,,,,,,54601.164,45670.13,4134.257,0,34644.848,
74,218.04225962987556,0.17715251,,,,,,,,,,,12708.903,1609.0217,83812.48,0,6952.297,
2837,218.0717864171342,1.3570864,,,,222,,,,,,,0,0,25202.5,0,0,
10115,218.0809644777341,3.9426339,,,,624,,,,,,,0,0,0,18208.271,0,
8223,218.17497196137057,3.2901325,,,,,,,,,,,7613.7754,0,0,0,0,
8103,218.2115548938763,3.270184,,,,585,,,,,,,13962.35,10369.357,11646.985,454.29852,12816.878,
9441,218.51010381703634,3.7080226,,,,836,,,,,,,8710.577,0,4489.603,0,0,
9936,218.58707362199667,3.8724165,,,,799,,,,,,,0,0,25626.463,0,0,
8746,218.58795696894788,3.447261,,,,836,,,,,,,0,0,61900.5,0,0,
93,219.0262776966277,0.18579192,,,,922,0,[M+K]+,,2,90;93,180.06304,17906.09,101897.8,437319.38,90416.43,393558.7,
4564,219.09907047327656,2.1470726,,,,268,,,,,,,0,37710.867,6406.951,0,19582.377,
5224,219.0995852015943,2.2305493,,,,40,274,[M+Na]+,,2,5224;5208,196.10992,0,29198.082,30787.97,430.17697,19582.377,
3565,219.10047036546592,1.8217115,,,,,,,,,,,0,63917.88,0,0,296.96927,
6973,219.10151972969786,2.8284154,,,,836,,,,,,,281.0824,4117.843,0,1370.0156,76997.625,
14136,219.1016207868664,5.4856386,,,,773,,,,,,,0,11678.987,0,0,73976.29,
17783,219.17434831838477,6.855108,,,,,,,,,,,14662.151,41688.56,6337.7295,276.6692,54745.766,
13942,219.17434882226172,5.4038563,,,,732,,,,,,,622.14014,8465.854,2044.6316,276.3664,43610.96,
6106,220.06899709309403,2.545485,,,,792,,,,,,,1821.3297,0,63064.4,0,0,
5523,220.0869454838902,2.3330026,,,,334,,,,,,,0,0,29835.416,0,0,
959,220.11770638768058,0.4900256,,,,423,,,,,,,7602.255,33113.81,18895.623,2667.352,1514.2808,
6490,220.16957936949814,2.6823702,,,,836,,,,,,,0,2136.6826,0,0,20572.15,
5761,221.05801344501685,2.5396519,,,,836,,,,,,,0,0,334.93225,0,127839.266,
1353,221.12215909293155,0.5902939,,,,152,,,,,,,0,902.72986,0,26935.518,0,
16019,221.18979958732763,6.071458,,,,422,,,,,,,6449.4287,239.89188,16956.135,6036.3066,290037.7,
15216,221.18992877397136,5.9214787,,,,846,,,,,,,5311.086,239.89188,18003.135,5755.053,411976.03,
11324,221.18994380410243,4.18104,,,,786,,,,,,,12967.885,956.50464,8838.861,0,4403.7935,
9436,221.19007745154178,3.7692437,,,,836,,,,,,,571.04974,1273.7155,22975.867,0,6707.5044,
2185,222.03760592052944,1.0487316,,,,527,90,[M-H+2Na]+,,2,2219;2185,177.06611,0,7082.841,0,0,541.8586,
8069,222.0558956505532,3.3628836,,,,836,,,,,,,0,290.11523,149894.33,0,34952.65,
9072,222.11239657712963,3.5619516,,,,836,488,[M+H-H2O]+,,2,9072;9065,239.11596,3202.7822,0,12107.829,0,282.59036,
12646,222.14872596235952,4.8195934,,,,893,682,[M+H]+,,1,12619,221.14146,171.96484,8128.1265,227.83118,0,7138.488,
11597,222.16994847248344,4.4496727,,,,923,625,[M+NH4]+,,4,11598;11605;11599;11597,204.13608,58648.457,6169.4453,33038.562,5940.933,10565.679,
15727,223.09643081344728,6.123706,,,,422,872,[M+H]+,,2,15727;15741,222.0891,97982.12,94001.875,112856.43,161996.94,179366.16,
13860,223.09952060623823,5.3523455,,,,601,767,[M-H+2Na]+,,2,13877;13860,178.12818,163.56412,2899.107,31561.896,0,29996.979,
12084,223.64373829165777,4.6214147,,,,,,,,,,,0,0,0,14376.838,0,
4271,224.07200208867422,1.8985168,,,,259,,,,,,,0,327.12463,1686.9845,0,29178.428,
5314,224.07237691696096,2.1113381,,,,532,,,,,,,0,327.12463,4203.357,0,114762.84,
860,224.09145269089288,0.44840887,,,,114,,,,,,,7329.043,823.0079,66798.34,0,0,
15712,224.09975593231144,6.1309614,,,,422,,,,,,,11569.547,8965.465,13229.661,17800.7,16444.135,
15146,224.1081637489467,5.909365,,,,823,844,[M-H+2Na]+,,2,15199;15146,179.13645,25501.062,351.56122,68233.03,8421.654,649.0812,
3999,224.53412938083443,1.7717001,,,,502,,,,,,,0,0,7753.168,0,0,
12096,224.5440775082374,4.6227427,,,,39,,,,,,,0,0,22084.291,0,0,
16773,224.56249460622055,6.476666,,,,848,,,,,,,0,8585.415,0,0,0,
