row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,191105_AR_Panax_Pos.mzML Peak area,191105_AR_Ginkgo_Pos.mzML Peak area,191105_AR_Arnica_Pos.mzML Peak area,191105_AR_Cinchona_Pos.mzML Peak area,191105_AR_Salvia_Pos.mzML Peak area,
12708,347.150216638618,4.937264,,,,737,694,[M+H]+,,1,12717,346.14255,170.6674,0,581.9195,0,41922.98,
3848,347.1687010342173,1.8854581,,,,259,,,,,,,0,4836.8325,6883.572,13996.9795,9170.994,
1721,347.17014671178896,0.85134834,,,,735,,,,,,,0,0,161378.34,0,0,
12912,347.1847064433291,5.0834055,,,,601,723,[M+H]+,,1,13124,346.17738,0,154.75778,2900.004,0,22258.29,
15431,347.1848766181358,6.034108,,,,422,864,[M+H]+,,6,15419;15353;15431;15436;15373;15354,346.17805,168.07346,834.91064,27563.215,0,1.0767307E7,
14487,347.18496233388646,5.6199064,,,,773,797,[M+H]+,,4,14496;14560;14566;14509,346.17806,339.6728,3721.4602,1787.2566,0,1.7144192E7,
18626,347.18506875071165,6.9886513,,,,576,,,,,,,0,0,72662.98,398.58157,103256.42,
17691,347.1856662069319,6.7735076,,,,576,975,[M+H]+,,2,17740;17691,346.17835,0,0,1450740.0,398.58157,704119.0,
10086,347.18602811238037,3.9941921,,,,836,,,,,,,0,249.20099,46062.13,0,4210.1455,
6009,347.18833336214243,2.5163658,,,,704,,,,,,,0,0,56380.008,0,0,
1817,347.19616974341216,0.8889137,,,,110,,,,,,,0,0,0,32970.074,0,
9766,347.24227938295815,3.817872,,,,836,,,,,,,0,0,17011.123,0,7961.3887,
11239,347.2426763711869,4.2840896,,,,,,,,,,,0,0,1206.6625,0,29465.742,
1492,347.9812733593573,0.5383578,,,,160,,,,,,,16959.922,22181.43,41436.92,31810.404,71337.84,
621,347.98141500952033,0.2886608,,,,295,,,,,,,116913.875,106526.07,11279.817,123458.93,111400.055,
1374,348.165306279907,0.69772124,,,,798,46,[M+NH4]+,,2,1365;1374,330.13128,0,18413.182,0,0,0,
13380,348.17975941516977,5.139268,,,,931,734,[M+NH4]+,,8,13416;13423;13421;13380;13382;13396;13377;13383,330.14588,0,0,0,0,1064206.0,
16227,348.1804508516786,6.310768,,,,576,917,[M+NH4]+,,2,16463;16227,330.14661,0,0,30346.002,0,0,
13728,348.1809130535817,5.314637,,,,732,755,[M+H-H2O]+,,3,13732;13728;13731,365.18435,0,0,0,0,146287.67,
4356,348.20207307082626,1.9034948,,,,486,213,[M+NH4]+,,2,4357;4356,330.16811,0,0,1083.2217,0,229450.38,
5317,348.2020926243292,2.1754122,,,,532,277,[M+NH4]+,,3,5319;5317;5297,330.16826,260.64716,0,1083.2217,0,382227.3,
18306,348.274072357478,6.8477097,,,,576,984,[M+NH4]+,,2,17771;18306,330.24038,254.12082,0,2185.5579,9422.35,0,
15209,348.27456797711386,5.9145675,,,,823,850,[M+NH4]+,,4,15070;15223;15212;15209,330.24075,173804.12,13397.49,282189.5,42303.89,47235.734,
13644,348.2752432016886,5.2826815,,,,601,749,[M+NH4]+,,5,13687;13667;13660;13644;13666,330.2414,0,0,9581.154,0,7505.8066,
1519,348.9850951440142,0.74857837,,,,160,,,,,,,2598.8452,8045.2256,53108.715,426.08896,8559.831,
2972,349.04075527804923,1.5630249,,,,150,158,[M+K]+,,2,3002;2972,310.07797,0,1980.0286,0,0,34978.83,
