filename	ATTRIBUTE_species
191105_AR_Blk_C18_Pos.mzML.gz	BLK
191105_AR_Arnica_C18_Pos.mzML.gz	Arnica montana
191105_AR_Cinchona_Pos.mzML.gz	Cinchona succirubra
191105_AR_Ginkgo_C18_Pos.mzML.gz	Ginkgo biloba
191105_AR_Panax_C18_Pos.mzML.gz	Panax ginseng
191105_AR_Salvia_C18_Pos.mzML.gz	Salvia officinalis
