feature_id	candidate_adduct	candidate_library	candidate_structure_error_mz	candidate_structure_name	candidate_structure_inchikey_no_stereo	candidate_structure_smiles_no_stereo	candidate_structure_molecular_formula	candidate_structure_exact_mass	candidate_structure_xlogp	candidate_spectrum_entropy	candidate_score_similarity	candidate_count_similarity_peaks_matched
12	[M+H]+	ISDB	0.000137459999905332		ZKEKDTIKFVCKMW	O=c1cc(-c2ccc(O)cc2OC2OC(CO)C(O)C(O)C2O)oc2cc(O)cc(O)c12	C21H20O11	448.10056146		3.11805334855293	0.426915466785431	11
12	[M+H]+	ISDB	0.000137459999905332		RQLZFMNYGLUKEJ	O=c1cc(-c2cc(O)cc(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12	C21H20O11	448.10056146		2.63827371835492	0.425831377506256	11
1	[M+H]+	ISDB	0.00042807600004835		BUGJJLOUCDBMAS	CC(C)CC(NCC(=O)C(O)C(O)C(O)CO)C(=O)O	C12H23NO7	293.147452076		4.08951656995571	0.425216794013977	23
17	[M+H]+	ISDB	0.000277884000013273		BDMCSTCUMFCYDF	CC(NCC1(O)OC(CO)C(O)C1O)C(=O)O	C9H17NO7	251.100501884		3.83671590299108	0.416439443826675	23
12	[M+H]+	ISDB	0.000137459999905332		YLCGMXKVTQXMCZ	O=c1cc(-c2c(O)cccc2OC2OC(CO)C(O)C(O)C2O)oc2cc(O)cc(O)c12	C21H20O11	448.10056146		3.37968881785784	0.412986159324646	12
20	[M+H]+	ISDB	0.0016405600000553		KKJYIHSXTUGJLP	O=C(C=Cc1ccc(O)cc1)NCCCN(CCCCN(CCCNC(=O)C=Cc1ccc(O)cc1)C(=O)C=Cc1ccc(O)cc1)C(=O)C=Cc1ccc(O)cc1	C46H50N4O8	786.36286456		4.06994818444611	0.40911391377449	13
10	[M+H]+	ISDB	0.00042807600004835		BUGJJLOUCDBMAS	CC(C)CC(NCC(=O)C(O)C(O)C(O)CO)C(=O)O	C12H23NO7	293.147452076		4.08951656995571	0.408238768577576	18
12	[M+H]+	ISDB	0.000137459999905332		UFWZPZDRNYVYRH	Cc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1O)C(=O)c1c(O)ccc(O)c1C2=O	C21H20O11	448.10056146		3.4739641653391	0.404848784208298	12
12	[M+H]+	ISDB	0.000137459999905332		PZKISQRTNNHUGF	O=c1cc(-c2ccc(O)cc2)oc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12	C21H20O11	448.10056146		3.48810031177136	0.403413474559784	11
12	[M+H]+	ISDB	0.000137459999905332		URHHTKHELOPLSX	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12	C21H20O11	448.10056146		3.16072392170107	0.403015106916428	12
12	[M+H]+	ISDB	0.000137459999905332		DXPDVKIQWQRRGG	O=c1c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2O)coc2cc(O)cc(O)c12	C21H20O11	448.10056146		3.46627365148581	0.398708939552307	12
12	[M+H]+	ISDB	0.000137459999791645		RKWHWFONKJEUEF	[O-]c1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)ccc1O	C21H20O11	448.10056146		3.3635930291461	0.397000461816788	13
