feature_id	sample_organism_01_domain	sample_organism_02_kingdom	sample_organism_03_phylum	sample_organism_04_class	sample_organism_05_order	sample_organism_06_family	sample_organism_07_tribe	sample_organism_08_genus	sample_organism_09_species	sample_organism_10_varietas
107	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1070	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1071	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1072	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1073	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1074	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1075	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1076	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentheae	Salvia	Salvia officinalis	notClassified
1077	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1078	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Cinchoneae	Cinchona	Cinchona pubescens	ND
1079	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
108	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1080	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1081	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1082	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1083	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1084	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1085	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1086	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1087	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1088	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
